"時間.年.","行業","受僱員工人數","平均薪資","經常性.薪資","非經常性薪資","加班費","平均.工時","正常.工時","加班.工時","進.入.率","退.出.率","勞動.生產力.指數","單位產出.勞動成本.指數","平均.薪資.指數","經常性.薪資.指數"
"62","工業部門","1652079","2254","1919","335","-","222.6","203.4","19.2","5.43","4.88","-","-","5.30","5.61"
"62","礦業及土石採取業","60655","2964","2335","629","-","186.1","181.2","4.9","5.37","4.78","-","-","5.56","5.74"
"62","製造業","1456309","2179","1832","347","-","225.5","204.4","21.1","4.85","4.43","-","-","5.14","5.45"
"62","電力及燃氣供應業","14424","4331","3642","689","-","236.1","184.4","51.7","0.88","0.66","-","-","4.45","5.54"
"62","營造業","114276","2558","2558","-","-","205.2","205.2","-","13.74","11.50","-","-","6.53","7.21"
"62","運輸及倉儲業","181557","3163","2865","298","-","223.4","205.1","18.3","3.57","3.30","-","-","6.53","7.29"
"63","工業部門","1705472","3078","2702","376","-","214.9","200.1","14.8","4.59","4.73","-","-","7.24","7.90"
"63","礦業及土石採取業","63759","4528","4391","137","-","184.1","179.5","4.6","4.84","4.52","-","-","8.49","10.80"
"63","製造業","1475173","2918","2495","423","-","216.7","200.4","16.3","3.77","4.29","-","-","6.88","7.42"
"63","電力及燃氣供應業","15044","6337","5799","538","-","238.5","184.2","54.3","1.31","0.99","-","-","6.52","8.82"
"63","營造業","144896","3700","3700","-","-","206.9","206.9","-","13.22","9.79","-","-","9.45","10.43"
"63","運輸及倉儲業","183181","4550","4207","343","-","220.9","206.5","14.4","2.84","3.29","-","-","9.39","10.70"
"64","工業部門","1714607","3637","3199","438","-","218.3","201.2","17.1","5.07","4.31","-","-","8.56","9.35"
"64","礦業及土石採取業","64152","5131","4996","135","-","182.4","177.6","4.8","4.25","4.39","-","-","9.62","12.29"
"64","製造業","1429739","3424","2921","503","-","221.7","202.1","19.6","4.18","3.56","-","-","8.08","8.69"
"64","電力及燃氣供應業","16343","7564","6523","1041","-","239.1","183.0","56.1","1.41","0.65","-","-","7.78","9.92"
"64","營造業","197585","4341","4315","26","-","203.8","203.8","-","12.14","10.07","-","-","11.08","12.16"
"64","運輸及倉儲業","175386","5198","4780","418","-","220.3","206.2","14.1","2.38","2.31","-","-","10.73","12.16"
"64","金融及保險業","56519","7731","6749","982","-","194.6","181.7","12.9","1.27","0.73","-","-","11.20","12.97"
"64","不動產業","15931","15091","14378","713","-","195.2","184.1","11.1","1.43","1.33","-","-","39.39","43.15"
"64","專業、科學及技術服務業","21645","6911","6320","591","-","193.6","187.8","5.8","2.82","2.45","-","-","13.36","14.84"
"65","工業部門","1943774","4266","3687","579","-","219.8","201.8","18.0","5.19","4.27","-","-","10.04","10.78"
"65","礦業及土石採取業","65333","6200","6055","145","-","183.9","179.0","4.9","4.37","4.11","-","-","11.62","14.90"
"65","製造業","1608427","4041","3367","674","-","223.1","202.2","20.9","4.67","3.80","-","-","9.53","10.01"
"65","電力及燃氣供應業","17047","8119","6835","1284","-","242.7","184.6","58.1","0.89","0.63","-","-","8.35","10.40"
"65","營造業","246073","4941","4911","30","-","206.2","206.2","-","9.27","7.76","-","-","12.61","13.84"
"65","運輸及倉儲業","181774","5621","5192","429","-","218.8","204.6","14.2","2.42","2.10","-","-","11.60","13.21"
"65","金融及保險業","60416","8299","7273","1026","-","196.3","183.5","12.8","2.13","1.59","-","-","12.02","13.98"
"65","不動產業","15754","15652","14896","756","-","195.9","185.1","10.8","1.28","1.21","-","-","40.85","44.70"
"65","專業、科學及技術服務業","22844","7539","6894","645","-","192.4","186.8","5.6","3.23","2.99","-","-","14.57","16.18"
"66","工業部門","2120421","5068","4231","837","-","219.2","203.0","16.2","4.32","3.64","-","-","11.92","12.36"
"66","礦業及土石採取業","61431","6684","6533","151","-","180.0","176.2","3.8","3.10","3.87","-","-","12.53","16.07"
"66","製造業","1733527","4859","3863","996","-","222.7","203.7","19.0","3.84","3.22","-","-","11.46","11.49"
"66","電力及燃氣供應業","17727","9316","7912","1404","-","238.4","183.6","54.8","1.08","0.69","-","-","9.58","12.04"
"66","營造業","300598","5679","5636","43","-","205.5","205.5","-","7.58","6.24","-","-","14.50","15.88"
"66","批發及零售業","455661","5233","4564","669","-","214.5","211.5","3.0","3.28","2.67","-","-","13.29","13.49"
"66","運輸及倉儲業","185268","6526","5985","541","-","217.0","203.9","13.1","2.95","2.67","-","-","13.47","15.23"
"66","金融及保險業","65831","9344","7946","1398","-","199.4","185.9","13.5","1.86","0.99","-","-","13.53","15.27"
"66","不動產業","15604","16256","15458","798","-","198.0","186.6","11.4","1.16","1.05","-","-","42.43","46.39"
"66","專業、科學及技術服務業","24485","8145","7448","697","-","192.6","186.9","5.7","2.95","1.85","-","-","15.74","17.48"
"67","工業部門","2292935","5631","4751","880","-","217.7","201.5","16.2","5.34","4.49","-","-","13.25","13.88"
"67","礦業及土石採取業","55379","7683","7420","263","-","180.3","176.5","3.8","4.58","5.30","-","-","14.40","18.26"
"67","製造業","1883951","5416","4375","1041","-","221.3","202.1","19.2","4.47","3.79","-","-","12.78","13.01"
"67","電力及燃氣供應業","18414","10389","9200","1189","-","232.8","187.5","45.3","1.45","1.03","-","-","10.68","14.00"
"67","營造業","328031","6228","6176","52","-","203.4","203.4","-","10.71","8.60","-","-","15.90","17.40"
"67","批發及零售業","460546","5408","4931","477","-","217.4","214.3","3.1","3.82","3.44","-","-","13.73","14.57"
"67","運輸及倉儲業","197658","7573","6849","724","-","216.4","201.9","14.5","3.10","2.57","-","-","15.63","17.42"
"67","金融及保險業","72397","9665","8435","1230","-","199.3","185.5","13.8","1.11","0.33","-","-","14.00","16.21"
"67","不動產業","15550","16548","15708","840","-","199.9","187.6","12.3","0.80","0.69","-","-","43.19","47.14"
"67","專業、科學及技術服務業","26287","9042","8269","773","-","196.7","190.7","6.0","1.40","0.75","-","-","17.48","19.41"
"68","工業部門","2395510","6727","5789","938","-","217.1","201.1","16.0","5.73","5.52","-","-","15.83","16.92"
"68","礦業及土石採取業","51572","9127","8943","184","-","181.6","176.5","5.1","2.55","3.40","-","-","17.11","22.00"
"68","製造業","1963667","6549","5447","1102","-","220.0","201.1","18.9","5.56","5.25","-","-","15.45","16.20"
"68","電力及燃氣供應業","19125","13044","11078","1966","-","230.5","184.1","46.4","0.94","0.67","-","-","13.42","16.86"
"68","營造業","352614","6994","6903","91","-","205.4","205.4","-","7.42","7.71","-","-","17.86","19.45"
"68","批發及零售業","527524","7479","6994","485","-","213.7","208.9","4.8","3.42","2.72","-","-","18.99","20.67"
"68","運輸及倉儲業","204498","9123","8300","823","-","215.9","202.4","13.5","3.83","3.49","-","-","18.83","21.12"
"68","金融及保險業","78995","11210","9688","1522","2","202.9","185.5","17.4","1.75","0.98","-","-","16.23","18.62"
"68","不動產業","15344","17402","16471","931","-","199.6","185.4","14.2","0.72","0.68","-","-","45.42","49.43"
"68","專業、科學及技術服務業","33244","10803","9977","826","-","195.4","190.0","5.4","4.79","1.49","-","-","20.88","23.42"
"68","醫療保健服務業","36827","11413","11261","152","-","207.3","204.6","2.7","0.91","0.43","-","-","20.59","24.30"
"68","藝術、娛樂及休閒服務業","21000","8069","6736","1333","-","235.4","229.5","5.9","0.83","0.74","-","-","25.78","23.63"
"68","其他服務業","60464","7558","7356","202","-","249.2","244.9","4.3","5.61","1.17","-","-","25.02","27.15"
"69","工業部門","2480614","8205","7084","1121","-","217.2","202.4","14.8","3.98","3.63","-","-","19.30","20.70"
"69","服務業部門","1188343","10174","9169","1005","-","210.8","203.4","7.4","3.30","2.68","-","-","22.94","24.75"
"69","礦業及土石採取業","49096","11549","11314","235","-","187.4","182.5","4.9","3.18","3.36","-","-","21.65","27.84"
"69","製造業","2028620","8034","6719","1315","-","220.6","203.2","17.4","3.90","3.66","-","-","18.95","19.99"
"69","電力及燃氣供應業","20195","14944","12828","2116","-","228.9","184.6","44.3","1.15","0.56","-","-","15.37","19.52"
"69","用水供應及污染整治業","10090","9103","8568","535","-","204.7","198.5","6.2","1.03","0.86","-","-","19.27","22.77"
"69","營造業","372613","8309","8167","142","-","201.4","201.4","-","4.75","3.80","-","-","21.21","23.01"
